"from","to","weight"
"Alexandre. Gardien à l'asile des Tulettes : ","Faujas (abbé Ovide). Prêtre à Plassans. Locataire de François Mouret. Agent politique d'Eugène Rougon : ",2
"Alexandre. Gardien à l'asile des Tulettes : ","Fenil (abbé). Premier grand vicaire de l'archevê-ché de Plassans : ",4
"Alexandre. Gardien à l'asile des Tulettes : ","Fouque (Adélaïde), dite Tante Dide. Aïeule des Rougon-Macquart. Épouse du jardinier Rougon, puis maîtresse du contrebandier Mac-quart :",5
"Alexandre. Gardien à l'asile des Tulettes : ","Macquart (Antoine). Fils d'Adélaïde Fouque et de Macquart. Époux de Joséphine Gavaudan. Père de Lisa, Gervaise et Jean Mac-quart: ",11
"Alexandre. Gardien à l'asile des Tulettes : ","Mouret (Marthe). Fille de Pierre Rougon et de Félicité Puech. Épouse de François Mouret. Mère d'O&âve, Serge et Désirée:",11
"Alexandre. Gardien à l'asile des Tulettes : ","Rougon (Pierre). Fils d'Adélaïde Fouque et de Rougon. Époux de Félicité Puech. Père d'Eugène, Pascal, Aristide, Sidonie et Marthe R o u g o n. Marchand d'huile à Plassans : ",5
"Alexandre. Gardien à l'asile des Tulettes : ","Trouche (Olympe). Sœur de l'abbé Faujas. Épouse d'Honoré Trouche : ",3
"Alexandre. Gardien à l'asile des Tulettes : ","Mouret (François). Fils d'Ursule Macquart et de Mouret. Époux de Marthe Rougon. Père d'O&ave, Serge et Désirée Mouret. Négociant en vins, huiles et amandes : ",5
"Alexandre. Gardien à l'asile des Tulettes : ","Rose. Vieille servante des Mouret, à Plassans : ",6
"Alexandre. Gardien à l'asile des Tulettes : ","Gautier (le père). Vigneron à Saint-Eutrope : ",2
"Alexandre. Gardien à l'asile des Tulettes : ","Mouret (Désirée). Fille de François Mouret et de Marthe Rougon. Sœur d'Oc-tave et de Serge Mouret : ",2
"Alexandre. Gardien à l'asile des Tulettes : ","Mouret (Octave). Fils aîné de François Mouret et de Marthe Rougon. Frère de Serge et de Désirée. Époux de Caroline Hédouin, puis de Denise Baudu : ",2
"Alexandre. Gardien à l'asile des Tulettes : ","Mouret (Serge). Deuxième fils de François Mouret et de Marthe Rougon. Frère d'Oo tave et de Désirée Mouret : ",2
"Alexandre. Gardien à l'asile des Tulettes : ","Condamin (O&avie de). Épouse du précédent. Agent occulte d'Eugène Rougon : ",1
